iter	Logloss
0	0.689446106
1	0.6858611298
2	0.6819258118
3	0.6788051605
4	0.6752870941
5	0.6721347809
6	0.6688080597
7	0.6657330322
8	0.6629418945
9	0.6591901398
10	0.6553662872
11	0.6521714783
12	0.6488607788
13	0.646000824
14	0.6429246521
15	0.640341568
16	0.6376837158
17	0.6346557617
18	0.6316569519
19	0.6288695145
20	0.625882225
21	0.6227838898
22	0.6205633545
23	0.6176791763
24	0.6151577759
25	0.6122632599
26	0.6100323868
27	0.6075467682
28	0.6051850891
29	0.6033319855
30	0.6009329987
31	0.5986899567
32	0.5962052917
33	0.5944144058
34	0.5927073669
35	0.5907692337
36	0.5888673401
37	0.5863949203
38	0.5846976089
39	0.58283638
40	0.5804729462
41	0.5785063934
42	0.5762267303
43	0.5740962982
44	0.5717735291
45	0.5699449158
46	0.5681248093
47	0.5662158203
48	0.5646974945
49	0.5628739929
50	0.5611929321
51	0.559150238
52	0.5576490784
53	0.5560446548
54	0.5542368317
55	0.5526771164
56	0.551267395
57	0.550140152
58	0.5484275818
59	0.5468914795
60	0.5450237274
61	0.5437130737
62	0.5422745514
63	0.5411643219
64	0.5398321152
65	0.5385354996
66	0.5371318817
67	0.5364610291
68	0.5355244446
69	0.5344133759
70	0.5330947113
71	0.532121048
72	0.5306785583
73	0.5294473267
74	0.5282731628
75	0.5268411636
76	0.5258467865
77	0.5242517853
78	0.5228300095
79	0.5216870117
80	0.5207971191
81	0.5195899963
82	0.5183571243
83	0.5173651505
84	0.5162926102
85	0.5149738312
86	0.5136833954
87	0.5123569489
88	0.5112705231
89	0.510428772
90	0.5092893219
91	0.5083062744
92	0.5070483017
93	0.5060068893
94	0.5052650452
95	0.5041102219
96	0.5029683685
97	0.5018856812
98	0.5006770325
99	0.4999464798
100	0.4991566849
101	0.4979470825
102	0.4968733215
103	0.4962583923
104	0.495645256
105	0.4945677185
106	0.4933665466
107	0.492574234
108	0.4914422607
109	0.4904461288
110	0.4903155518
111	0.489358139
112	0.4885951233
113	0.487741127
114	0.4869779968
115	0.4862938309
116	0.4853860474
117	0.4845955658
118	0.4837594986
119	0.4832885742
120	0.4824234772
121	0.4816368484
122	0.4811489105
123	0.4800287628
124	0.4793333054
125	0.47877388
126	0.478168602
127	0.4774256134
128	0.4766365814
129	0.4755283737
130	0.4750784683
131	0.4742350769
132	0.4735796738
133	0.4729038239
134	0.4722073364
135	0.4715015411
136	0.470639801
137	0.4696467209
138	0.4689922714
139	0.4683737183
140	0.4679105759
141	0.4672241974
142	0.4666240692
143	0.4659640503
144	0.4652401733
145	0.4646815872
146	0.4639488983
147	0.4630039978
148	0.4624546051
149	0.4617554474
150	0.4610380554
151	0.4602270126
152	0.459553833
153	0.4589034271
154	0.4581557465
155	0.4576438904
156	0.4568621063
157	0.4564648819
158	0.4557254028
159	0.4551529694
160	0.4540760803
161	0.4531844711
162	0.4526958466
163	0.4520154572
164	0.4514983749
165	0.4505877304
166	0.4500190735
167	0.4493372726
168	0.4486537933
169	0.4478794098
170	0.4473232269
171	0.446561203
172	0.4459027863
173	0.4453513336
174	0.4449602509
175	0.4441072464
176	0.4434110641
177	0.442685318
178	0.4420237732
179	0.4415573883
180	0.4408509827
181	0.4400967407
182	0.4395307159
183	0.4388087082
184	0.4380901337
185	0.4374245071
186	0.4367303467
187	0.4361585236
188	0.4357746506
189	0.4353621292
190	0.4349090576
191	0.4342744827
192	0.4337301636
193	0.4331736755
194	0.4325464249
195	0.4319904327
196	0.4314161682
197	0.4309577179
198	0.4302677155
199	0.4298321533
200	0.4291712952
201	0.4285710907
202	0.4280988312
203	0.4276395035
204	0.4269914246
205	0.4264134216
206	0.4259761047
207	0.4255577087
208	0.4250556946
209	0.4245178223
210	0.4238071442
211	0.4229104233
212	0.4224492645
213	0.4219293213
214	0.4213492203
215	0.4207429504
216	0.4200366974
217	0.419633255
218	0.4192261124
219	0.4188415527
220	0.4185917664
221	0.418177948
222	0.4176194382
223	0.4169430542
224	0.4165370941
225	0.4161585236
226	0.4157921982
227	0.4153541565
228	0.4145150757
229	0.4141819382
230	0.4135525513
231	0.4134544373
232	0.412843132
233	0.4123038483
234	0.4118177414
235	0.4114636993
236	0.4110256958
237	0.4105147552
238	0.4099886322
239	0.4094553757
240	0.4088893127
241	0.4085032654
242	0.407808075
243	0.4073597717
244	0.4067594147
245	0.4060958481
246	0.4055664444
247	0.405055542
248	0.4046676636
249	0.404173317
250	0.4035411072
251	0.40277771
252	0.4022324371
253	0.4017844391
254	0.4013666534
255	0.4009122849
256	0.4005362701
257	0.4000504303
258	0.3995642471
259	0.3990492249
260	0.39855896
261	0.3979520416
262	0.3975273895
263	0.3969244385
264	0.3965438843
265	0.3958656311
266	0.3953250122
267	0.3949600983
268	0.3945471954
269	0.3940325165
270	0.3935568619
271	0.393200531
272	0.392644577
273	0.3921495819
274	0.3913845444
275	0.3911069489
276	0.3905108261
277	0.3901606369
278	0.3898278046
279	0.389356041
280	0.3890271759
281	0.388543396
282	0.3880827713
283	0.3876351929
284	0.3871526337
285	0.3866487122
286	0.3862283325
287	0.3859453201
288	0.3855853653
289	0.3852628326
290	0.3848325348
291	0.3843549347
292	0.3840300369
293	0.3837978363
294	0.3832981873
295	0.3828975677
296	0.382545166
297	0.3821152496
298	0.3815356064
299	0.3810923386
300	0.3807819748
301	0.3803419876
302	0.3801372528
303	0.3797240448
304	0.3792537689
305	0.378950882
306	0.3784865952
307	0.3780919266
308	0.3776273727
309	0.3770560455
310	0.3767379761
311	0.3763373566
312	0.3758685303
313	0.3755853271
314	0.3751698685
315	0.3746834564
316	0.3743572998
317	0.3740914917
318	0.3735868454
319	0.3731355286
320	0.3726360703
321	0.3723094177
322	0.3716697693
323	0.371342392
324	0.3709669876
325	0.3705831909
326	0.3702275085
327	0.3696337509
328	0.3692282104
329	0.3688697433
330	0.3684152985
331	0.3681369781
332	0.3677300262
333	0.3671162415
334	0.3665742111
335	0.3661483383
336	0.365840683
337	0.3653964615
338	0.3649821472
339	0.3644503021
340	0.3640694427
341	0.3637885284
342	0.3635165405
343	0.363141098
344	0.3628810501
345	0.362526474
346	0.3621430588
347	0.361914444
348	0.3613066101
349	0.360867691
350	0.3604061127
351	0.3600602722
352	0.3596129608
353	0.3592533112
354	0.3589316559
355	0.3583061218
356	0.3579819489
357	0.357800293
358	0.3573900604
359	0.3571198273
360	0.3568228912
361	0.3563613129
362	0.3561542511
363	0.3558816147
364	0.3555118942
365	0.3550450897
366	0.3548182678
367	0.3544430542
368	0.3541564941
369	0.3537308502
370	0.3535179138
371	0.3531573105
372	0.3528651428
373	0.3522927094
374	0.3519666672
375	0.3516917801
376	0.3515126038
377	0.3512141418
378	0.3506939697
379	0.3500683594
380	0.3497038269
381	0.3493878937
382	0.3491306686
383	0.3486597824
384	0.3483119965
385	0.3479288483
386	0.3473655701
387	0.3469548798
388	0.3464478302
389	0.3462207794
390	0.3459316254
391	0.3455539322
392	0.3453369904
393	0.3451368332
394	0.3447351837
395	0.3444176102
396	0.3441631317
397	0.3439609528
398	0.3435502243
399	0.3432229233
400	0.3429032135
401	0.3426145935
402	0.3422431183
403	0.3416764832
404	0.3413383484
405	0.3412626266
406	0.3409633636
407	0.34067173
408	0.3404794312
409	0.3400601959
410	0.3395993423
411	0.3392101288
412	0.3389218903
413	0.3386297989
414	0.3383774948
415	0.3380356216
416	0.3377738953
417	0.3372855377
418	0.3366609955
419	0.3362786102
420	0.3358191681
421	0.3354141617
422	0.3351802826
423	0.3348646545
424	0.3348073578
425	0.3345279694
426	0.3341915512
427	0.3337984085
428	0.3334084702
429	0.3330016327
430	0.33269207
431	0.3323804855
432	0.3321294403
433	0.3318856049
434	0.3316174698
435	0.3312754059
436	0.3309128952
437	0.3304006195
438	0.330144577
439	0.329830246
440	0.3295552444
441	0.3292340088
442	0.3290359879
443	0.3286421204
444	0.3284106445
445	0.3281129456
446	0.3278643417
447	0.3276425552
448	0.3272742844
449	0.3269387436
450	0.3265834045
451	0.3262911987
452	0.3259475708
453	0.3256274414
454	0.3253307343
455	0.3250778961
456	0.3248816299
457	0.3246445084
458	0.32427742
459	0.323978653
460	0.3237477112
461	0.3234745026
462	0.323221283
463	0.322698822
464	0.3223880768
465	0.3220698547
466	0.3218716431
467	0.3217178345
468	0.3213693237
469	0.3209968185
470	0.320552063
471	0.3203116608
472	0.3200623322
473	0.3198449707
474	0.3195436287
475	0.3193960762
476	0.3191225815
477	0.3189003372
478	0.318673687
479	0.3183538055
480	0.3180779266
481	0.3176226425
482	0.3173611832
483	0.3172504807
484	0.3168125725
485	0.3165231895
486	0.3162652969
487	0.3161300087
488	0.3159822845
489	0.3156739044
490	0.3154600143
491	0.3153004837
492	0.3147002411
493	0.3144221497
494	0.31384552
495	0.3135779953
496	0.3132250595
497	0.3130422211
498	0.312711544
499	0.3122986031
500	0.3120568085
501	0.3118585205
502	0.3115031242
503	0.3113431549
504	0.3110699463
505	0.3106999016
506	0.3103412628
507	0.3100561142
508	0.3096185684
509	0.3094239807
510	0.3091323471
