iter	Passed	Remaining
0	170	170510
1	185	92380
2	186	62026
3	187	46749
4	199	39731
5	200	33270
6	202	28656
7	214	26644
8	216	23804
9	217	21538
10	218	19676
11	230	18990
12	245	18607
13	260	18367
14	262	17206
15	263	16190
16	264	15298
17	275	15030
18	339	17510
19	369	18127
20	371	17315
21	372	16567
22	373	15880
23	385	15678
24	386	15085
25	387	14532
26	389	14024
27	401	13921
28	416	13936
29	417	13502
30	418	13096
31	420	12716
32	421	12355
33	422	12013
34	430	11862
35	446	11952
36	462	12027
37	507	12858
38	509	12547
39	539	12948
40	540	12653
41	555	12665
42	556	12395
43	558	12129
44	559	11872
45	560	11626
46	561	11389
47	570	11308
48	616	11966
49	648	12322
50	649	12092
51	651	11872
52	663	11849
53	677	11876
54	679	11667
55	692	11677
56	693	11480
57	708	11506
58	709	11317
59	738	11568
60	740	11391
61	741	11216
62	742	11046
63	743	10879
64	745	10718
65	752	10653
66	754	10502
67	755	10350
68	768	10371
69	769	10227
70	771	10089
71	772	9955
72	773	9825
73	775	9698
74	776	9574
75	777	9452
76	799	9586
77	801	9469
78	815	9508
79	816	9393
80	830	9423
81	831	9310
82	832	9201
83	833	9093
84	834	8988
85	845	8988
86	847	8889
87	860	8919
88	861	8821
89	863	8726
90	864	8631
91	891	8803
92	906	8845
93	922	8894
94	924	8804
95	925	8714
96	926	8626
97	938	8639
98	939	8554
99	941	8470
100	942	8386
101	943	8304
102	944	8224
103	945	8146
104	946	8069
105	947	7994
106	953	7960
107	955	7888
108	956	7816
109	957	7746
110	958	7673
111	985	7815
112	987	7747
113	988	7681
114	1017	7828
115	1033	7872
116	1034	7808
117	1035	7742
118	1048	7764
119	1050	7700
120	1051	7636
121	1063	7655
122	1079	7695
123	1080	7633
124	1081	7571
125	1094	7592
126	1095	7531
127	1110	7564
128	1125	7598
129	1126	7539
130	1127	7480
131	1141	7503
132	1142	7446
133	1143	7390
134	1156	7409
135	1171	7445
136	1173	7390
137	1186	7414
138	1201	7444
139	1203	7391
140	1217	7418
141	1233	7453
142	1248	7485
143	1250	7431
144	1251	7378
145	1252	7325
146	1264	7335
147	1279	7367
148	1280	7315
149	1282	7265
150	1283	7216
151	1284	7167
152	1294	7167
153	1310	7199
154	1312	7152
155	1313	7105
156	1325	7116
157	1340	7142
158	1370	7250
159	1385	7275
160	1401	7303
161	1402	7255
162	1416	7272
163	1432	7301
164	1433	7255
165	1434	7209
166	1436	7163
167	1437	7119
168	1447	7118
169	1449	7074
170	1450	7031
171	1451	6987
172	1452	6944
173	1453	6902
174	1455	6859
175	1479	6924
176	1480	6884
177	1481	6842
178	1482	6801
179	1484	6761
180	1485	6721
181	1486	6681
182	1487	6642
183	1489	6604
184	1490	6565
185	1491	6527
186	1494	6495
187	1495	6458
188	1496	6421
189	1497	6385
190	1499	6349
191	1500	6314
192	1501	6278
193	1502	6243
194	1503	6208
195	1505	6173
196	1509	6152
197	1510	6119
198	1557	6268
199	1558	6234
200	1559	6200
201	1560	6166
202	1587	6232
203	1602	6251
204	1603	6218
205	1617	6235
206	1619	6202
207	1633	6220
208	1649	6242
209	1650	6209
210	1652	6177
211	1653	6144
212	1665	6152
213	1666	6120
214	1697	6197
215	1712	6217
216	1714	6185
217	1715	6153
218	1728	6164
219	1744	6185
220	1776	6261
221	1777	6230
222	1807	6299
223	1823	6317
224	1824	6286
225	1838	6296
226	1839	6265
227	1841	6233
228	1854	6242
229	1855	6211
230	1856	6180
231	1869	6188
232	1885	6206
233	1901	6223
234	1902	6193
235	1903	6162
236	1915	6168
237	1917	6138
238	1918	6108
239	1930	6114
240	1932	6085
241	1933	6056
242	1946	6064
243	1962	6079
244	1963	6051
245	1994	6112
246	2009	6127
247	2011	6098
248	2041	6158
249	2057	6173
250	2059	6144
251	2060	6116
252	2073	6120
253	2088	6135
254	2090	6106
255	2104	6116
256	2106	6088
257	2107	6060
258	2108	6031
259	2109	6004
260	2110	5976
261	2135	6015
262	2151	6027
263	2166	6039
264	2181	6051
265	2183	6024
266	2184	5997
267	2185	5970
268	2212	6012
269	2213	5985
270	2228	5993
271	2243	6004
272	2244	5977
273	2259	5985
274	2274	5996
275	2275	5970
276	2290	5978
277	2291	5951
278	2320	5996
279	2321	5970
280	2336	5977
281	2337	5951
282	2351	5957
283	2366	5966
284	2381	5974
285	2382	5948
286	2384	5923
287	2385	5897
288	2396	5896
289	2412	5905
290	2427	5915
291	2429	5889
292	2443	5896
293	2459	5906
294	2460	5881
295	2462	5856
296	2475	5858
297	2491	5868
298	2492	5844
299	2494	5819
300	2495	5795
301	2496	5770
302	2497	5746
303	2499	5721
304	2500	5697
305	2501	5673
306	2502	5650
307	2504	5626
308	2505	5603
309	2506	5579
310	2520	5584
311	2551	5627
312	2553	5603
313	2554	5580
314	2555	5557
315	2556	5534
316	2567	5531
317	2583	5539
318	2599	5548
319	2600	5526
320	2601	5503
321	2602	5480
322	2604	5458
323	2605	5436
324	2614	5430
325	2615	5408
326	2617	5386
327	2629	5386
328	2630	5364
329	2631	5343
330	2633	5321
331	2644	5321
332	2646	5300
333	2647	5279
334	2660	5281
335	2661	5260
336	2676	5265
337	2708	5304
338	2709	5283
339	2711	5262
340	2712	5241
341	2713	5220
342	2714	5199
343	2723	5193
344	2724	5173
345	2739	5177
346	2740	5157
347	2741	5136
348	2743	5116
349	2744	5096
350	2771	5123
351	2786	5130
352	2802	5137
353	2803	5116
354	2805	5096
355	2806	5077
356	2818	5076
357	2819	5056
358	2821	5036
359	2833	5038
360	2849	5044
361	2850	5024
362	2852	5004
363	2865	5006
364	2866	4987
365	2880	4990
366	2882	4971
367	2896	4974
368	2897	4955
369	2911	4956
370	2927	4962
371	2928	4943
372	2929	4924
373	2930	4905
374	2942	4904
375	2944	4886
376	2945	4867
377	2946	4848
378	2947	4830
379	2949	4811
380	2950	4793
381	2951	4774
382	2952	4756
383	2953	4738
384	2956	4723
385	2989	4754
386	2990	4736
387	3004	4739
388	3036	4769
389	3038	4752
390	3052	4754
391	3053	4736
392	3082	4761
393	3084	4743
394	3085	4725
395	3097	4724
396	3113	4729
397	3114	4710
398	3129	4713
399	3145	4717
400	3146	4699
401	3160	4700
402	3161	4683
403	3162	4665
404	3175	4665
405	3191	4668
406	3192	4651
407	3193	4633
408	3194	4616
409	3207	4615
410	3208	4598
411	3223	4599
412	3224	4582
413	3225	4565
414	3226	4548
415	3227	4531
416	3228	4514
417	3229	4497
418	3230	4480
419	3237	4470
420	3253	4474
421	3254	4457
422	3269	4459
423	3270	4442
424	3284	4443
425	3285	4427
426	3286	4410
427	3299	4409
428	3300	4393
429	3314	4394
430	3316	4378
431	3330	4378
432	3346	4381
433	3347	4365
434	3378	4387
435	3379	4371
436	3392	4371
437	3408	4373
438	3409	4357
439	3423	4357
440	3424	4341
441	3426	4325
442	3455	4344
443	3471	4347
444	3487	4349
445	3488	4333
446	3489	4317
447	3491	4301
448	3502	4298
449	3503	4282
450	3517	4281
451	3564	4321
452	3580	4322
453	3581	4307
454	3595	4306
455	3596	4290
456	3610	4290
457	3612	4274
458	3642	4293
459	3643	4277
460	3645	4261
461	3646	4246
462	3647	4230
463	3648	4214
464	3658	4208
465	3659	4193
466	3660	4178
467	3673	4176
468	3689	4177
469	3691	4162
470	3692	4147
471	3693	4131
472	3705	4128
473	3721	4129
474	3737	4130
475	3752	4131
476	3767	4131
477	3768	4115
