자치구,정류장수,노선수,사용일자,하차총승객수,요일
강남구,499,91,20220401,280133,금
강남구,499,91,20220402,179968,토
강남구,499,91,20220403,122791,일
강남구,499,91,20220404,271268,월
강남구,499,91,20220405,278364,화
강남구,499,91,20220406,281416,수
강남구,499,91,20220407,283094,목
강남구,499,91,20220408,293424,금
강남구,499,91,20220409,193550,토
강남구,499,91,20220410,135404,일
강남구,499,91,20220411,279396,월
강남구,499,91,20220412,288698,화
강남구,499,91,20220413,284656,수
강남구,499,91,20220414,287851,목
강남구,499,91,20220415,299397,금
강남구,499,91,20220416,188811,토
강남구,499,91,20220417,127972,일
강남구,499,91,20220418,280698,월
강남구,499,91,20220419,291470,화
강남구,499,91,20220420,294964,수
강남구,499,91,20220421,310404,목
강남구,499,91,20220422,298872,금
강남구,499,91,20220423,189297,토
강남구,499,91,20220424,127935,일
강남구,499,91,20220425,286473,월
강남구,499,91,20220426,295128,화
강남구,499,91,20220427,303746,수
강남구,499,91,20220428,305063,목
강남구,499,91,20220429,312510,금
강남구,499,91,20220430,196460,토
강동구,369,21,20220401,102574,금
강동구,369,21,20220402,72375,토
강동구,369,21,20220403,55659,일
강동구,369,21,20220404,99170,월
강동구,369,21,20220405,100950,화
강동구,369,21,20220406,103054,수
강동구,369,21,20220407,102766,목
강동구,369,21,20220408,106590,금
강동구,369,21,20220409,77690,토
강동구,369,21,20220410,61390,일
강동구,369,21,20220411,102033,월
강동구,369,21,20220412,104656,화
강동구,369,21,20220413,104637,수
강동구,369,21,20220414,104074,목
강동구,369,21,20220415,109094,금
강동구,369,21,20220416,76392,토
강동구,369,21,20220417,59569,일
강동구,369,21,20220418,101168,월
강동구,369,21,20220419,105180,화
강동구,369,21,20220420,106403,수
강동구,369,21,20220421,106189,목
강동구,369,21,20220422,107742,금
강동구,369,21,20220423,76351,토
강동구,369,21,20220424,59500,일
강동구,369,21,20220425,106560,월
강동구,369,21,20220426,106438,화
강동구,369,21,20220427,109926,수
강동구,369,21,20220428,110285,목
강동구,369,21,20220429,115014,금
강동구,369,21,20220430,77077,토
강북구,413,67,20220401,167288,금
강북구,413,67,20220402,130757,토
강북구,413,67,20220403,101301,일
강북구,413,67,20220404,160213,월
강북구,413,67,20220405,162285,화
강북구,413,67,20220406,163615,수
강북구,413,67,20220407,164563,목
강북구,413,67,20220408,172441,금
강북구,413,67,20220409,140720,토
강북구,413,67,20220410,113704,일
강북구,413,67,20220411,168813,월
강북구,413,67,20220412,168164,화
강북구,413,67,20220413,164369,수
강북구,413,67,20220414,166003,목
강북구,413,67,20220415,174867,금
강북구,413,67,20220416,139245,토
강북구,413,67,20220417,108981,일
강북구,413,67,20220418,164256,월
강북구,413,67,20220419,167846,화
강북구,413,67,20220420,171404,수
강북구,413,67,20220421,170637,목
강북구,413,67,20220422,171678,금
강북구,413,67,20220423,139647,토
강북구,413,67,20220424,107542,일
강북구,413,67,20220425,170245,월
강북구,413,67,20220426,171954,화
강북구,413,67,20220427,174899,수
강북구,413,67,20220428,174864,목
강북구,413,67,20220429,179813,금
강북구,413,67,20220430,139669,토
강서구,566,49,20220401,169848,금
강서구,566,49,20220402,119541,토
강서구,566,49,20220403,87742,일
강서구,566,49,20220404,163900,월
강서구,566,49,20220405,165960,화
강서구,566,49,20220406,168704,수
강서구,566,49,20220407,168691,목
강서구,566,49,20220408,174196,금
강서구,566,49,20220409,126343,토
강서구,566,49,20220410,95473,일
강서구,566,49,20220411,169869,월
강서구,566,49,20220412,173617,화
강서구,566,49,20220413,170769,수
강서구,566,49,20220414,170697,목
강서구,566,49,20220415,177609,금
강서구,566,49,20220416,127530,토
강서구,566,49,20220417,94551,일
강서구,566,49,20220418,169677,월
강서구,566,49,20220419,173751,화
강서구,566,49,20220420,178923,수
강서구,566,49,20220421,176590,목
강서구,566,49,20220422,176596,금
강서구,566,49,20220423,129062,토
강서구,566,49,20220424,93413,일
강서구,566,49,20220425,174313,월
강서구,566,49,20220426,177654,화
강서구,566,49,20220427,180247,수
강서구,566,49,20220428,179932,목
강서구,566,49,20220429,186350,금
강서구,566,49,20220430,131280,토
관악구,466,86,20220401,276745,금
관악구,466,86,20220402,211873,토
관악구,466,86,20220403,165162,일
관악구,466,86,20220404,269603,월
관악구,466,86,20220405,273242,화
관악구,466,86,20220406,275890,수
관악구,466,86,20220407,276732,목
관악구,466,86,20220408,284523,금
관악구,466,86,20220409,223562,토
관악구,466,86,20220410,181360,일
관악구,466,86,20220411,280643,월
관악구,466,86,20220412,282938,화
관악구,466,86,20220413,279501,수
관악구,466,86,20220414,279932,목
관악구,466,86,20220415,292368,금
관악구,466,86,20220416,227150,토
관악구,466,86,20220417,175930,일
관악구,466,86,20220418,279107,월
관악구,466,86,20220419,285399,화
관악구,466,86,20220420,289677,수
관악구,466,86,20220421,288942,목
관악구,466,86,20220422,287648,금
관악구,466,86,20220423,225946,토
관악구,466,86,20220424,176118,일
관악구,466,86,20220425,286416,월
관악구,466,86,20220426,288811,화
관악구,466,86,20220427,297740,수
관악구,466,86,20220428,296299,목
관악구,466,86,20220429,300318,금
관악구,466,86,20220430,232901,토
광진구,269,41,20220401,98674,금
광진구,269,41,20220402,76827,토
광진구,269,41,20220403,57930,일
광진구,269,41,20220404,94760,월
광진구,269,41,20220405,96333,화
광진구,269,41,20220406,97410,수
광진구,269,41,20220407,98333,목
광진구,269,41,20220408,102641,금
광진구,269,41,20220409,84798,토
광진구,269,41,20220410,67042,일
광진구,269,41,20220411,99581,월
광진구,269,41,20220412,100314,화
광진구,269,41,20220413,99398,수
광진구,269,41,20220414,99028,목
광진구,269,41,20220415,104096,금
광진구,269,41,20220416,79676,토
광진구,269,41,20220417,60022,일
광진구,269,41,20220418,96890,월
광진구,269,41,20220419,98980,화
광진구,269,41,20220420,101442,수
광진구,269,41,20220421,101641,목
광진구,269,41,20220422,101414,금
광진구,269,41,20220423,79937,토
광진구,269,41,20220424,59863,일
광진구,269,41,20220425,99275,월
광진구,269,41,20220426,100595,화
광진구,269,41,20220427,103139,수
광진구,269,41,20220428,104365,목
광진구,269,41,20220429,108103,금
광진구,269,41,20220430,80904,토
구로구,486,79,20220401,171617,금
구로구,486,79,20220402,118031,토
구로구,486,79,20220403,87477,일
구로구,486,79,20220404,166559,월
구로구,486,79,20220405,170830,화
구로구,486,79,20220406,172551,수
구로구,486,79,20220407,173070,목
구로구,486,79,20220408,176394,금
구로구,486,79,20220409,125159,토
구로구,486,79,20220410,97833,일
구로구,486,79,20220411,174905,월
구로구,486,79,20220412,177546,화
구로구,486,79,20220413,176016,수
구로구,486,79,20220414,175194,목
구로구,486,79,20220415,180382,금
구로구,486,79,20220416,125221,토
구로구,486,79,20220417,93783,일
구로구,486,79,20220418,174670,월
구로구,486,79,20220419,178392,화
구로구,486,79,20220420,180797,수
구로구,486,79,20220421,182250,목
구로구,486,79,20220422,180128,금
구로구,486,79,20220423,127818,토
구로구,486,79,20220424,95777,일
구로구,486,79,20220425,179336,월
구로구,486,79,20220426,180602,화
구로구,486,79,20220427,186076,수
구로구,486,79,20220428,183711,목
구로구,486,79,20220429,188559,금
구로구,486,79,20220430,130308,토
금천구,345,58,20220401,130111,금
금천구,345,58,20220402,89889,토
금천구,345,58,20220403,66233,일
금천구,345,58,20220404,126851,월
금천구,345,58,20220405,128998,화
금천구,345,58,20220406,129786,수
금천구,345,58,20220407,130310,목
금천구,345,58,20220408,133037,금
금천구,345,58,20220409,96822,토
