도착 시군구 코드,요일,평균 이동 시간(분),총 이동인구
11010,금,21.906211740447194,3311971.41
11010,목,21.662329627135914,2433458.36
11010,수,21.897468098943733,1831119.9
11010,월,24.533730158730158,81321.68
11010,일,23.739669421487605,26762.09
11010,토,21.58045459752246,3079162.46
11010,화,22.517238443858005,757658.79
11020,금,21.498594716132658,3483872.42
11020,목,21.238899951563425,2627701.72
11020,수,21.66516550326503,1733418.15
11020,월,23.933393339333932,86397.74
11020,일,22.379746835443036,18197.94
11020,토,21.155891640352333,2656175.65
11020,화,22.618963694043003,920415.29
11030,금,21.837741156858318,2542531.8
11030,목,21.660684760253258,1780496.69
11030,수,21.985440942294566,1226194.25
11030,월,23.571908602150536,77257.04
11030,일,19.929078014184398,21000.13
11030,토,21.530511983717584,2443317.28
11030,화,22.476736582666867,640269.06
11040,금,22.45959673695552,3013574.51
11040,목,21.9822502481462,2290423.28
11040,수,22.19948355334604,1589289.34
11040,월,23.79642857142857,69098.36
11040,일,24.221854304635762,8933.93
11040,토,21.67559322621462,2565344.15
11040,화,22.661409310607986,839799.84
11050,금,23.207755131540907,3027340.47
11050,목,22.724786538903153,2165795.53
11050,수,22.726134258655325,1875733.79
11050,월,22.665273059837993,109049.07
11050,일,25.412844036697248,11738.93
11050,토,22.580639396701155,2931333.38
11050,화,22.63263263263263,893794.99
11060,금,22.36616264814058,2793844.38
11060,목,22.00731442127113,2026253.96
11060,수,22.51516588860873,1510423.26
11060,월,23.40162980209546,97310.67
11060,일,21.805845511482254,23965.71
11060,토,21.605961394175022,2406661.7
11060,화,22.506227661648435,651232.28
11070,금,24.340231554318446,2402654.56
11070,목,23.700007129108148,1663767.28
11070,수,24.113616729720874,1349555.2
11070,월,24.306506849315067,87718.22
11070,일,23.58490566037736,75269.25
11070,토,23.394737895959313,2179081.6
11070,화,23.975342465753425,710961.46
11080,금,23.028505575704166,3194218.23
11080,목,22.399992205919602,2438029.68
11080,수,22.915913312693498,1963106.11
11080,월,24.522573949143748,110821.36
11080,일,25.248538011695906,13783.97
11080,토,22.12719186135678,2742997.33
11080,화,23.668534535266172,808031.42
11090,금,24.808037622915776,2108268.41
11090,목,23.946554219272418,1601055.88
11090,수,24.46660083458096,1232486.86
11090,월,25.811826200588044,94013.48
11090,일,25.450236966824644,13318.22
11090,토,24.100420168067227,1977199.32
11090,화,24.258107507774323,701397.23
11100,금,25.61021691818334,1786589.42
11100,목,24.67677506470125,1360626.73
11100,수,25.19911824226655,1073987.87
11100,월,26.543778801843317,78974.77
11100,일,26.598639455782312,10553.86
11100,토,24.902183695703663,1684843.15
11100,화,25.166251039068992,537880.14
11110,금,24.974004424778762,3471503.44
11110,목,24.250298940895114,2662376.74
11110,수,24.87304472350738,2099125.02
11110,월,26.550013777900247,140118.21
11110,일,21.656378600823047,21576.59
11110,토,24.286452279478237,3201690.14
11110,화,25.353039806247285,934314.34
11120,금,25.318728825889053,2860488.82
11120,목,24.91273464007616,2038341.29
11120,수,24.76672628611271,1788575.89
11120,월,25.348082595870206,186254.51
11120,일,24.4919168591224,13304.51
11120,토,24.96098949480884,2553992.09
11120,화,24.71564460635499,1011336.65
11130,금,22.58531375166889,2841873.48
11130,목,22.26953125,2145971.94
11130,수,22.29895665102925,1834339.19
11130,월,22.59351003220213,180030.75
11130,일,20.80441640378549,36689.72
11130,토,22.33103653213974,2278861.37
11130,화,22.80667701863354,878218.54
11140,금,22.632172065168394,4141209.81
11140,목,22.25878200768368,2981352.43
11140,수,22.086193136472467,2555477.3
11140,월,23.10854206807964,235276.94
11140,일,19.463276836158194,175021.38999999998
11140,토,22.093038365331513,3895184.32
11140,화,22.63535991514392,1092931.03
11150,금,23.58863208644351,2575559.44
11150,목,23.16142609556821,1817554.4
11150,수,22.917186216964204,1671784.78
11150,월,25.821382007822685,115341.87
11150,일,18.712,83993.05
11150,토,22.889624072825352,2373783.8
11150,화,23.595817973046472,643783.31
11160,금,25.970487238979118,3735767.15
11160,목,25.563307045671202,2845437.45
11160,수,25.39304712266939,2393646.92
11160,월,29.16868198307134,95133.7
11160,일,25.543575920934412,14783.39
11160,토,25.032607680089694,3257104.22
11160,화,25.142669562143325,1666439.68
11170,금,23.64443829004372,2496293.89
11170,목,23.268065697634242,1874144.26
11170,수,22.87653559207943,1597515.82
11170,월,25.77186038143217,88584.78
11170,일,22.830349531116795,48707.78
11170,토,22.829856300225643,2105514.98
11170,화,22.713206005515268,956167.29
11180,금,24.91835811897106,1446629.44
11180,목,24.35891317963554,1056123.63
11180,수,23.930506736965437,894547.56
11180,월,27.168815943728017,52575.840000000004
11180,일,25.96264367816092,11046.68
11180,토,23.954205781453606,1075792.13
11180,화,23.516198143218855,585297.3
11190,금,22.1642629854196,4376037.13
11190,목,21.658082012267258,3221517.48
11190,수,21.546030155331845,2691578.55
11190,월,24.16241806263656,168991.31
11190,일,21.08296943231441,48906.78
11190,토,21.70058185249253,3762952.36
11190,화,21.09899943057024,1416313.39
11200,금,22.50935658900847,2737934.02
11200,목,21.784545943931427,2083866.76
11200,수,22.414381279816634,1590009.35
11200,월,21.824817518248175,174635.01
11200,일,20.042787286063568,85615.26
11200,토,21.89495550024175,2348135.74
11200,화,21.504568433746115,1091576.23
11210,금,23.911142015407417,3238363.19
11210,목,23.33149218218899,2433094.88
11210,수,23.759392333123856,1895174.52
11210,월,21.712660028449502,123689.36
11210,일,23.78590078328982,24099.12
11210,토,23.48629027856116,2826208.4
11210,화,22.493108442741672,1090273.71
11220,금,23.528322557748393,5210029.58
11220,목,23.15320717447664,3904615.52
11220,수,23.34340634372444,3065576.33
11220,월,20.50882420352968,482707.52
11220,일,23.610648918469217,41635.55
11220,토,22.81309208033346,4137138.57
11220,화,22.76668869795109,1802495.57
11230,금,23.86639532070531,8194352.96
11230,목,23.61982771255028,6242604.46
11230,수,23.497822931785198,4953507.34
11230,월,21.078201576816536,776445.46
11230,일,23.614349775784753,41671.3
11230,토,22.908858358243275,6217540.8
11230,화,23.362483421750664,2756373.7
11240,금,26.209269478386545,6123396.35
11240,목,25.50355878658699,4554975.52
11240,수,25.656000382646962,3771025.4
11240,월,23.868136813681367,482780.07
11240,일,27.2979797979798,21057.829999999998
11240,토,25.684856344772545,5679648.14
11240,화,25.55644591091209,2364860.98
11250,금,26.663052594971667,3748332.49
11250,목,25.748892878515857,2835506.26
11250,수,25.81410541945063,2421144.79
11250,월,23.888334995014954,435758.61
